period,NG_Power_Gen,NG_Seasonal_Power_Gen,NG_Commercial_Usage,NG_Vehicle_Fuel_Usage,NG_Delivery_Usage,NG_Industrial_Usage,NG_Residential_Usage,Heating_Days,Cooling_Days,NG_Gross_Withdrawls,EAST_NG_Storage_BCF
2022-02-04,612.7448979591837,-10.688891160209481,241.91836734693877,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,624.8571428571429,1.0,4917.658163265307,485
2022-02-11,612.7448979591837,-8.799736796652581,241.91836734693877,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,557.7142857142857,0.7142857142857143,4917.658163265307,435
2022-02-18,612.7448979591837,-9.821397859286115,241.91836734693877,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,505.2857142857143,2.5714285714285716,4917.658163265307,396
2022-02-25,612.7448979591837,-11.598730106591074,241.91836734693877,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,455.2857142857143,6.285714285714286,4917.658163265307,358
2022-03-04,548.20395421436,-13.376062353896032,187.62122788761707,3.1925078043704476,1134.4599375650364,114.73881373569199,280.6951092611863,515.1428571428571,3.4285714285714284,4451.04266389178,317
2022-03-11,548.20395421436,-15.153394601200988,187.62122788761707,3.1925078043704476,1134.4599375650364,114.73881373569199,280.6951092611863,356.57142857142856,10.857142857142858,4451.04266389178,290
2022-03-18,548.20395421436,-14.655038609804624,187.62122788761707,3.1925078043704476,1134.4599375650364,114.73881373569199,280.6951092611863,360.14285714285717,4.571428571428571,4451.04266389178,268
2022-03-25,548.20395421436,-12.944013704875479,187.62122788761707,3.1925078043704476,1134.4599375650364,114.73881373569199,280.6951092611863,273.0,6.571428571428571,4451.04266389178,268
2022-04-01,589.9644444444444,-11.232988799946334,138.28444444444446,3.2977777777777777,1033.8933333333332,112.96444444444445,189.37777777777777,393.85714285714283,5.428571428571429,4605.1466666666665,241
2022-04-08,589.9644444444444,-9.52196389501719,138.28444444444446,3.2977777777777777,1033.8933333333332,112.96444444444445,189.37777777777777,298.42857142857144,9.714285714285714,4605.1466666666665,229
2022-04-15,589.9644444444444,-7.703169558413124,138.28444444444446,3.2977777777777777,1033.8933333333332,112.96444444444445,189.37777777777777,209.14285714285714,13.285714285714286,4605.1466666666665,238
2022-04-22,589.9644444444444,-5.989702977093977,138.28444444444446,3.2977777777777777,1033.8933333333332,112.96444444444445,189.37777777777777,269.14285714285717,9.285714285714286,4605.1466666666665,238
2022-04-29,589.9644444444444,-4.2762363957748235,138.28444444444446,3.2977777777777777,1033.8933333333332,112.96444444444445,189.37777777777777,202.14285714285714,19.142857142857142,4605.1466666666665,253
2022-05-06,685.9562955254944,-2.562769814455681,97.67741935483872,3.1925078043704476,987.8709677419355,100.33298647242457,100.71592091571279,149.0,32.142857142857146,4496.274713839751,274
2022-05-13,685.9562955254944,-0.849303233136535,97.67741935483872,3.1925078043704476,987.8709677419355,100.33298647242457,100.71592091571279,125.0,17.0,4496.274713839751,296
2022-05-20,685.9562955254944,2.8794731936734754,97.67741935483872,3.1925078043704476,987.8709677419355,100.33298647242457,100.71592091571279,41.714285714285715,68.57142857142857,4496.274713839751,325
2022-05-27,685.9562955254944,6.392951437700095,97.67741935483872,3.1925078043704476,987.8709677419355,100.33298647242457,100.71592091571279,38.857142857142854,80.42857142857143,4496.274713839751,345
2022-06-03,802.2222222222223,10.419641001611302,89.49333333333334,3.2977777777777777,1063.64,102.92444444444443,65.70222222222222,16.285714285714285,105.71428571428571,4640.475555555556,376
2022-06-10,802.2222222222223,14.446330565522505,89.49333333333334,3.2977777777777777,1063.64,102.92444444444443,65.70222222222222,20.714285714285715,70.28571428571429,4640.475555555556,407
2022-06-17,802.2222222222223,17.456078694569374,89.49333333333334,3.2977777777777777,1063.64,102.92444444444443,65.70222222222222,6.714285714285714,137.42857142857142,4640.475555555556,430
2022-06-24,802.2222222222223,19.98954032444014,89.49333333333334,3.2977777777777777,1063.64,102.92444444444443,65.70222222222222,33.42857142857143,79.42857142857143,4640.475555555556,461
2022-07-01,885.1196670135276,22.523001954310892,88.2372528616025,3.1925078043704476,1137.315296566077,102.00624349635795,58.76378772112384,1.5714285714285714,139.14285714285714,4554.980228928199,482
2022-07-08,885.1196670135276,25.05646358418165,88.2372528616025,3.1925078043704476,1137.315296566077,102.00624349635795,58.76378772112384,1.5714285714285714,168.42857142857142,4554.980228928199,501
2022-07-15,885.1196670135276,26.623330087079562,88.2372528616025,3.1925078043704476,1137.315296566077,102.00624349635795,58.76378772112384,2.4285714285714284,145.85714285714286,4554.980228928199,521
2022-07-22,885.1196670135276,26.251364038785688,88.2372528616025,3.1925078043704476,1137.315296566077,102.00624349635795,58.76378772112384,0.0,218.57142857142858,4554.980228928199,532
2022-07-29,885.1196670135276,25.879397990491807,88.2372528616025,3.1925078043704476,1137.315296566077,102.00624349635795,58.76378772112384,0.14285714285714285,216.0,4554.980228928199,549
2022-08-05,871.7627471383975,25.507431942197936,81.0156087408949,3.1925078043704476,1109.1321540062434,106.26430801248698,46.888657648283036,0.14285714285714285,205.71428571428572,4529.519250780437,564
2022-08-12,871.7627471383975,25.135465893904065,81.0156087408949,3.1925078043704476,1109.1321540062434,106.26430801248698,46.888657648283036,0.8571428571428571,222.85714285714286,4529.519250780437,571
2022-08-19,871.7627471383975,23.477990195430227,81.0156087408949,3.1925078043704476,1109.1321540062434,106.26430801248698,46.888657648283036,3.0,99.42857142857143,4529.519250780437,598
2022-08-26,871.7627471383975,21.450204121378793,81.0156087408949,3.1925078043704476,1109.1321540062434,106.26430801248698,46.888657648283036,0.14285714285714285,168.0,4529.519250780437,614
2022-09-02,751.7822222222222,19.422418047327366,81.58222222222223,3.2977777777777777,996.6755555555555,109.03555555555555,50.986666666666665,5.428571428571429,161.28571428571428,4691.493333333333,635
2022-09-09,751.7822222222222,17.39463197327593,81.58222222222223,3.2977777777777777,996.6755555555555,109.03555555555555,50.986666666666665,9.142857142857142,105.71428571428571,4691.493333333333,661
2022-09-16,751.7822222222222,14.66320998502235,81.58222222222223,3.2977777777777777,996.6755555555555,109.03555555555555,50.986666666666665,17.0,78.0,4691.493333333333,690
2022-09-23,751.7822222222222,10.125179223187514,81.58222222222223,3.2977777777777777,996.6755555555555,109.03555555555555,50.986666666666665,48.285714285714285,72.85714285714286,4691.493333333333,721
2022-09-30,751.7822222222222,5.587148461352687,81.58222222222223,3.2977777777777777,996.6755555555555,109.03555555555555,50.986666666666665,125.14285714285714,15.142857142857142,4691.493333333333,756
2022-10-07,601.5150884495317,1.0491176995178542,104.38293444328824,3.1925078043704476,913.5359001040582,102.92611862643079,101.52341311134234,160.0,7.571428571428571,4525.673257023934,782
2022-10-14,601.5150884495317,-3.3869147123708627,104.38293444328824,3.1925078043704476,913.5359001040582,102.92611862643079,101.52341311134234,180.28571428571428,13.285714285714286,4525.673257023934,812
2022-10-21,601.5150884495317,-5.4549031812924325,104.38293444328824,3.1925078043704476,913.5359001040582,102.92611862643079,101.52341311134234,246.28571428571428,6.428571428571429,4525.673257023934,825
2022-10-28,601.5150884495317,-7.522891650214008,104.38293444328824,3.1925078043704476,913.5359001040582,102.92611862643079,101.52341311134234,169.14285714285714,5.428571428571429,4525.673257023934,848
2022-11-04,600.9777777777778,-9.590880119135578,164.46222222222224,3.2977777777777777,1079.848888888889,116.03111111111112,195.07999999999998,185.28571428571428,11.0,4695.373333333334,865
2022-11-11,600.9777777777778,-11.658868588057143,164.46222222222224,3.2977777777777777,1079.848888888889,116.03111111111112,195.07999999999998,147.0,22.714285714285715,4695.373333333334,882
2022-11-18,600.9777777777778,-13.019745100498445,164.46222222222224,3.2977777777777777,1079.848888888889,116.03111111111112,195.07999999999998,403.0,6.571428571428571,4695.373333333334,866
2022-11-25,600.9777777777778,-14.12282422554859,164.46222222222224,3.2977777777777777,1079.848888888889,116.03111111111112,195.07999999999998,476.42857142857144,4.571428571428571,4695.373333333334,840
2022-12-02,558.8262226847035,-15.225903350598733,219.68782518210193,3.1925078043704476,1235.6670135275756,110.78043704474504,343.1800208116545,381.85714285714283,5.571428571428571,4473.910509885535,834
2022-12-09,558.8262226847035,-16.32898247564888,219.68782518210193,3.1925078043704476,1235.6670135275756,110.78043704474504,343.1800208116545,382.2857142857143,4.571428571428571,4473.910509885535,822
