period,NG_Power_Gen,NG_Seasonal_Power_Gen,NG_Commercial_Usage,NG_Vehicle_Fuel_Usage,NG_Delivery_Usage,NG_Industrial_Usage,NG_Residential_Usage,Heating_Days,Cooling_Days,NG_Gross_Withdrawls,EAST_NG_Storage_BCF,Storage_t1,Storage_t2,Storage_4Wk_Avg,Heating_Days_4Wk_Avg,Cooling_Days_4Wk_Avg
2021-12-10,550.7263267429761,-16.32898247564888,192.62851196670127,2.568158168574401,1146.9261186264307,111.77107180020812,289.2320499479709,447.1428571428572,3.571428571428572,4678.526534859521,818,843.0,867.0,854.25,423.3928571428572,2.3571428571428577
2021-12-17,550.7263267429761,-16.62917492077849,192.62851196670127,2.568158168574401,1146.9261186264307,111.77107180020812,289.2320499479709,335.85714285714283,6.428571428571429,4678.526534859521,809,818.0,843.0,834.25,419.25,3.178571428571429
2021-12-24,550.7263267429761,-16.214186665391523,192.62851196670127,2.568158168574401,1146.9261186264307,111.77107180020812,289.2320499479709,502.8571428571428,4.0,4678.526534859521,777,809.0,818.0,811.75,434.39285714285717,3.5
2021-12-31,550.7263267429761,-15.79988951822589,192.62851196670127,2.568158168574401,1146.9261186264307,111.77107180020812,289.2320499479709,363.0,5.428571428571429,4678.526534859521,767,777.0,809.0,792.75,412.2142857142857,4.857142857142858
2022-01-07,591.9875130072841,-16.712684166117857,245.36108220603535,3.192507804370448,1342.6347554630595,127.47138397502604,374.6222684703434,478.7142857142857,6.571428571428571,4521.144640998959,730,767.0,777.0,770.75,420.1071428571429,5.607142857142858
2022-01-14,591.9875130072841,-16.35635425088018,245.36108220603535,3.192507804370448,1342.6347554630595,127.47138397502604,374.6222684703434,622.7142857142857,2.0,4521.144640998959,669,730.0,767.0,735.75,491.82142857142856,4.5
2022-01-21,591.9875130072841,-14.467199887323284,245.36108220603535,3.192507804370448,1342.6347554630595,127.47138397502604,374.6222684703434,671.1428571428571,0.1428571428571428,4521.144640998959,609,669.0,730.0,693.75,533.8928571428571,3.5357142857142856
2022-01-28,591.9875130072841,-12.57804552376638,245.36108220603535,3.192507804370448,1342.6347554630595,127.47138397502604,374.6222684703434,713.5714285714286,0.2857142857142857,4521.144640998959,541,609.0,669.0,637.25,621.5357142857142,2.25
2022-02-04,612.7448979591837,-10.68889116020948,241.9183673469388,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,624.8571428571429,1.0,4917.658163265307,485,541.0,609.0,576.0,658.0714285714286,0.8571428571428571
2022-02-11,612.7448979591837,-8.799736796652581,241.9183673469388,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,557.7142857142857,0.7142857142857143,4917.658163265307,435,485.0,541.0,517.5,641.8214285714286,0.5357142857142857
2022-02-18,612.7448979591837,-9.821397859286115,241.9183673469388,3.5357142857142856,1418.0357142857142,143.71428571428572,416.11734693877554,505.2857142857143,2.571428571428572,4917.658163265307,396,435.0,485.0,464.25,600.3571428571429,1.142857142857143
